Billionaires per million inhabitants,2004,2005,2006,2007
Abkhazia,0,0,0,0
Afghanistan,0,0,0,0
Akrotiri and Dhekelia,0,0,0,0
Albania,0,0,0,0
Algeria,0,0,0,0
American Samoa,0,0,0,0
Andorra,0,0,0,0
Angola,0,0,0,0
Anguilla,0,0,0,0
Antigua and Barbuda,0,0,0,0
Argentina,0.02554620794,0.0252921605,0.02504895003,0.02481270933
Armenia,0,0,0,0
Aruba,0,0,0,0
Australia,0.2510904355,0.2986495515,0.3454387917,0.5872514752
Austria,0.3669831611,0.4887172894,0.3661716027,0.3658633405
Azerbaijan,0,0,0,0
Bahamas,0,0,0,0
Bahrain,0,0,0,0
Bangladesh,0,0,0,0
Barbados,0,0,0,0
Belarus,0,0,0,0
Belgium,0.09663445389,0.09648423042,0.1926955477,0.1924515498
Belize,0,0,0,0
Benin,0,0,0,0
Bermuda,0,0,0,0
Bhutan,0,0,0,0
Bolivia,0,0,0,0
Bosnia and Herzegovina,0,0,0,0
Botswana,0,0,0,0
Brazil,0.03259078684,0.04298468594,0.08507098485,0.1052572596
British Virgin Islands,0,0,0,0
Brunei,0,0,0,0
Bulgaria,0,0,0,0
Burkina Faso,0,0,0,0
Burundi,0,0,0,0
Cambodia,0,0,0,0
Cameroon,0,0,0,0
Canada,0.5229502243,0.5182130393,0.6646740143,0.6888260819
Cape Verde,0,0,0,0
Cayman Islands,0,0,0,0
Central African Rep.,0,0,0,0
Chad,0,0,0,0
Channel Islands,0,0,0,0
Chile,0.189585955,0.1877239547,0.1239601371,0.184221536
China,0.0007717633534,0.001534704737,0.006103032274,0.01516664623
Christmas Island,0,0,0,0
Cocos Island,0,0,0,0
Colombia,0.04726928306,0.04656113539,0.04587888868,0.04522068258
Comoros,0,0,0,0
Congo, Dem. Rep.,0,0,0,0
Congo, Rep.,0,0,0,0
Cook Islands,0,0,0,0
Costa Rica,0,0,0,0
Cote d'Ivoire,0,0,0,0
Croatia,0,0,0,0
Cuba,0,0,0,0
Cyprus,0,0,0,2.536599967
Czech Rep.,0,0,0.09769961374,0.09776371371
Czechoslovakia,0,0,0,0
Denmark,0.5541811862,0.5522487107,0.3669279744,0.3657564209
Djibouti,0,0,0,0
Dominica,0,0,0,0
Dominican Rep.,0,0,0,0
East Germany,0,0,0,0
Ecuador,0,0,0,0
Egypt,0,0.01290226754,0.02535271746,0.04983520557
El Salvador,0,0,0,0
Equatorial Guinea,0,0,0,0
Eritrea,0,0,0,0
Eritrea and Ethiopia,0,0,0,0
Estonia,0,0,0,0
Ethiopia,0,0,0,0
Faeroe Islands,0,0,0,0
