Beach Name,Measurement Timestamp,Water Temperature,Turbidity,Transducer Depth,Wave Height,Wave Period,Battery Life,Measurement Timestamp Label,Measurement ID
Montrose Beach,08/30/2013 08:00:00 AM,20.3,1.18,0.891,0.08,3,9.4,8/30/2013 8:00 AM,MontroseBeach201308300800
Ohio Street Beach,05/26/2016 01:00:00 PM,14.4,1.23,,0.111,4,12.4,05/26/2016 1:00 PM,OhioStreetBeach201605261300
Calumet Beach,09/03/2013 04:00:00 PM,23.2,3.63,1.201,0.174,6,9.4,9/3/2013 4:00 PM,CalumetBeach201309031600
Calumet Beach,05/28/2014 12:00:00 PM,16.2,1.26,1.514,0.147,4,11.7,5/28/2014 12:00 PM,CalumetBeach201405281200
Montrose Beach,05/28/2014 12:00:00 PM,14.4,3.36,1.388,0.298,4,11.9,5/28/2014 12:00 PM,MontroseBeach201405281200
Montrose Beach,05/28/2014 01:00:00 PM,14.5,2.72,1.395,0.306,3,11.9,5/28/2014 1:00 PM,MontroseBeach201405281300
Calumet Beach,05/28/2014 01:00:00 PM,16.3,1.28,1.524,0.162,4,11.7,5/28/2014 1:00 PM,CalumetBeach201405281300
Montrose Beach,05/28/2014 02:00:00 PM,14.8,2.97,1.386,0.328,3,11.9,5/28/2014 2:00 PM,MontroseBeach201405281400
Calumet Beach,05/28/2014 02:00:00 PM,16.5,1.32,1.537,0.185,4,11.7,5/28/2014 2:00 PM,CalumetBeach201405281400
Calumet Beach,05/28/2014 03:00:00 PM,16.8,1.31,1.568,0.196,4,11.7,5/28/2014 3:00 PM,CalumetBeach201405281500
Montrose Beach,05/28/2014 03:00:00 PM,14.5,4.3,1.377,0.328,3,11.9,5/28/2014 3:00 PM,MontroseBeach201405281500
Calumet Beach,05/28/2014 04:00:00 PM,17.1,1.37,1.52,0.194,4,11.7,5/28/2014 4:00 PM,CalumetBeach201405281600
Montrose Beach,05/28/2014 04:00:00 PM,14.4,4.87,1.366,0.341,3,11.9,5/28/2014 4:00 PM,MontroseBeach201405281600
Calumet Beach,05/28/2014 05:00:00 PM,17.2,1.48,1.525,0.203,4,11.7,5/28/2014 5:00 PM,CalumetBeach201405281700
Montrose Beach,05/28/2014 05:00:00 PM,14.1,5.06,1.382,0.34,4,11.9,5/28/2014 5:00 PM,MontroseBeach201405281700
Montrose Beach,05/28/2014 06:00:00 PM,14.2,5.76,1.415,0.356,3,11.9,5/28/2014 6:00 PM,MontroseBeach201405281800
Calumet Beach,05/28/2014 06:00:00 PM,17.1,1.8,1.501,0.188,4,11.7,5/28/2014 6:00 PM,CalumetBeach201405281800
Calumet Beach,05/28/2014 07:00:00 PM,17,1.82,1.487,0.194,4,11.7,5/28/2014 7:00 PM,CalumetBeach201405281900
Montrose Beach,05/28/2014 07:00:00 PM,14.2,6.32,1.386,0.346,3,11.9,5/28/2014 7:00 PM,MontroseBeach201405281900
Montrose Beach,05/28/2014 08:00:00 PM,14.4,6.89,1.401,0.38,4,11.9,5/28/2014 8:00 PM,MontroseBeach201405282000
Calumet Beach,05/28/2014 08:00:00 PM,17,1.83,1.488,0.196,4,11.7,5/28/2014 8:00 PM,CalumetBeach201405282000
Montrose Beach,05/28/2014 09:00:00 PM,14.5,7.11,1.374,0.361,5,11.9,5/28/2014 9:00 PM,MontroseBeach201405282100
Calumet Beach,05/28/2014 09:00:00 PM,16.8,1.9,1.494,0.181,4,11.7,5/28/2014 9:00 PM,CalumetBeach201405282100
Montrose Beach,05/28/2014 10:00:00 PM,14.5,6.88,1.413,0.345,4,11.9,5/28/2014 10:00 PM,MontroseBeach201405282200
Calumet Beach,05/28/2014 10:00:00 PM,16.7,1.83,1.467,0.18,4,11.7,5/28/2014 10:00 PM,CalumetBeach201405282200
Montrose Beach,05/28/2014 11:00:00 PM,14.3,7.32,1.406,0.331,4,11.9,5/28/2014 11:00 PM,MontroseBeach201405282300
Calumet Beach,05/28/2014 11:00:00 PM,16.5,1.69,1.548,0.177,4,11.7,5/28/2014 11:00 PM,CalumetBeach201405282300
Calumet Beach,05/29/2014 01:00:00 AM,16.3,1.62,1.519,0.159,4,11.7,5/29/2014 1:00 AM,CalumetBeach201405290100
Montrose Beach,05/29/2014 01:00:00 AM,14.2,7.18,1.46,0.305,4,11.9,5/29/2014 1:00 AM,MontroseBeach201405290100
Montrose Beach,05/29/2014 02:00:00 AM,14.2,6.35,1.45,0.321,3,11.9,5/29/2014 2:00 AM,MontroseBeach201405290200
Calumet Beach,05/29/2014 02:00:00 AM,16.2,1.57,1.535,0.154,4,11.7,5/29/2014 2:00 AM,CalumetBeach201405290200
Calumet Beach,05/29/2014 03:00:00 AM,16.1,1.8,1.557,0.163,4,11.7,5/29/2014 3:00 AM,CalumetBeach201405290300
Montrose Beach,05/29/2014 03:00:00 AM,14.1,6.78,1.468,0.285,4,11.8,5/29/2014 3:00 AM,MontroseBeach201405290300
Calumet Beach,05/29/2014 04:00:00 AM,16.1,1.82,1.507,0.156,4,11.7,5/29/2014 4:00 AM,CalumetBeach201405290400
